,3 month VIX^2 Delta Hedged return(%),3-month Realized Variance Return (%)
count,312.0,312.0
mean,-13.490531078142107,-11.623327638782198
std,152.51111262829676,162.79678090374375
min,-279.84373194648987,-87.0112591544587
25%,-58.47977883261302,-62.442573183040594
50%,-45.25752273838833,-48.77584986474963
75%,-19.293214374002503,-19.573109543256884
max,1631.9031050149074,1656.6719253920598
