,2 month VIX^2 Delta Hedged return(%),2-month Realized Variance Return (%)
count,312.0,312.0
mean,-14.24924825998903,-14.978625469063685
std,162.01554587773035,164.79965560301042
min,-81.6592191497676,-86.84442966141525
25%,-57.3050629715643,-60.68507102619158
50%,-44.228887553268066,-46.6862653655809
75%,-20.381051939226097,-18.35442811268041
max,1788.79037997165,1804.7611173125506
