,1 month VIX^2 Delta Hedged return(%),1-month Realized Variance Return (%)
count,312.0,312.0
mean,-16.110830563298922,-15.496989764726013
std,158.94327033670572,158.64250528665676
min,-88.65213851199472,-89.05653194437923
25%,-55.654247741386996,-58.441496903510604
50%,-40.499118986795935,-41.318025141950216
75%,-13.540088080231989,-14.767311169061637
max,2529.8858545020503,2502.4339951518605
