,1 month VIX^2 Delta Hedged return(%),1-month Realized Variance Return (%)
count,312.0,312.0
mean,-13.51554795780111,-15.753017554872862
std,158.71111856890835,158.504068177044
min,-88.25348007602696,-89.05934031172157
25%,-53.49850323590211,-58.51798635845866
50%,-36.58661487075966,-41.53825794874887
75%,-13.578904851213293,-14.685414582653875
max,2528.4290681594152,2500.9924153603815
