May 2025 Settlement Values,
March 2023 Settlement Values,
INDEX,SETTLEMENT VALUE
VIX Options (VRO),20.68
S&P 100 (OEX),1788.6
S&P 500 Scored & Screened Index,347.56
S&P 500 (SET),3957.05
S&P 500 PM-Settled,3916.64
MSCI EAFE (MXS),1986.73
MSCI Emerging Markets (EFS),951.56
Materials Select Sector Index (SISB),798.43
Communication Services Select Sector Index (SISC),287.25
Energy Select Sector Index (SISE),802.64
Industrials Select Sector Index (SISIN),971.21
Financial Select Sector Index (SISM),380.27
Consumer Staples Select Sector Index (SISR),725.01
Real Estate Select Sector Index (SISRE),177.14
Technology Select Sector Index (SIST),1443.62
Utilities Select Sector Index (SISUT),673.65
Dow Jones (DJS),321.06
Health Care Select Sector Index (SISV),1268.38
Consumer Discretionary Select Sector Index (SISY),1424.41
Russell 1000 Index (RIR),2168.96
Russell 1000 Growth (RLR),2362.93
Russell 1000 Value (RVS),1451.24
Mini-SPX (XSP),391.66
Russell 2000 (RLS),1759.01
February 2023 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),1826.06
S&P 500 Scored & Screened Index,355.22
S&P 500 (SET),4068.3
S&P 500 PM-Settled,4079.09
MSCI EAFE (MXS),2087.04
MSCI Emerging Markets (EFS),999.42
Materials Select Sector Index (SISB),862.44
Communication Services Select Sector Index (SISC),289.07
Energy Select Sector Index (SISE),883.27
Industrials Select Sector Index (SISIN),1037.63
Financial Select Sector Index (SISM),447.92
Consumer Staples Select Sector Index (SISR),742.19
Real Estate Select Sector Index (SISRE),194.78
Technology Select Sector Index (SIST),1407.27
Utilities Select Sector Index (SISUT),691.56
Dow Jones (DJS),335.7
Health Care Select Sector Index (SISV),1332.48
Consumer Discretionary Select Sector Index (SISY),1519.65
Russell 1000 Index (RIR),2243.67
Russell 1000 Growth (RLR),2365.64
Russell 1000 Value (RVS),1552.17
Mini-SPX (XSP),407.91
Russell 2000 (RLS),1946.97
VIX Options (VRO),18.69
January 2023 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),1767.27
S&P 500 Scored & Screened Index,342.86
S&P 500 (SET),3912.94
S&P 500 PM-Settled,3972.61
MSCI EAFE (MXS),2080.41
MSCI Emerging Markets (EFS),1036.24
Materials Select Sector Index (SISB),878.89
Communication Services Select Sector Index (SISC),277.48
Energy Select Sector Index (SISE),953.3
Industrials Select Sector Index (SISIN),998.49
Financial Select Sector Index (SISM),435.96
Consumer Staples Select Sector Index (SISR),732.61
Real Estate Select Sector Index (SISRE),193.06
Technology Select Sector Index (SIST),1324.1
Utilities Select Sector Index (SISUT),701.8
Dow Jones (DJS),330.83
Health Care Select Sector Index (SISV),1354.21
Consumer Discretionary Select Sector Index (SISY),1404.55
Russell 1000 Index (RIR),2151.23
Russell 1000 Growth (RLR),2216.42
Russell 1000 Value (RVS),1521.71
Mini-SPX (XSP),397.26
Russell 2000 (RLS),1853.37
VIX Options (VRO),19.09
December 2022 Settlement Values,
INDEX,SETTLEMENT VALUE
VIX Options (VRO),20.25
S&P 100 (OEX),1718.92
S&P 500 Scored & Screened Index,338.57
S&P 500 (SET),3871.47
S&P 500 PM-Settled,3852.36
MSCI EAFE (MXS),1936.53
MSCI Emerging Markets (EFS),957.3
Materials Select Sector Index (SISB),835.28
Communication Services Select Sector Index (SISC),251
Energy Select Sector Index (SISE),878.2
Industrials Select Sector Index (SISIN),984.96
Financial Select Sector Index (SISM),413.65
Consumer Staples Select Sector Index (SISR),752.18
Real Estate Select Sector Index (SISRE),182.96
Technology Select Sector Index (SIST),1282.56
Utilities Select Sector Index (SISUT),709.31
Dow Jones (DJS),329.66
Health Care Select Sector Index (SISV),1366.38
Consumer Discretionary Select Sector Index (SISY),1350.22
Russell 1000 Index (RIR),2123.04
Russell 1000 Growth (RLR),2211.81
Russell 1000 Value (RVS),1485.97
Mini-SPX (XSP),385.24
Russell 2000 (RLS),1752.41
November 2022 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),1777.09
S&P 500 Scored & Screened Index,349.27
S&P 500 (SET),3983.42
S&P 500 PM-Settled,3965.34
MSCI EAFE (MXS),1922.38
MSCI Emerging Markets (EFS),943.01
Materials Select Sector Index (SISB),846.68
Communication Services Select Sector Index (SISC),258.65
Energy Select Sector Index (SISE),956.7
Industrials Select Sector Index (SISIN),999.75
Financial Select Sector Index (SISM),434.89
Consumer Staples Select Sector Index (SISR),751.53
Real Estate Select Sector Index (SISRE),186.43
Technology Select Sector Index (SIST),1328.61
Utilities Select Sector Index (SISUT),694.05
Dow Jones (DJS),337.6
Health Care Select Sector Index (SISV),1357.65
Consumer Discretionary Select Sector Index (SISY),1422.77
Russell 1000 Index (RIR),2187.04
Russell 1000 Growth (RLR),2289.09
Russell 1000 Value (RVS),1523.89
Mini-SPX (XSP),396.53
Russell 2000 (RLS),1873.04
VIX Options (VRO),24.93
October 2022 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),1704.6
S&P 500 Scored & Screened Index,320.83
S&P 500 (SET),3656.28
S&P 500 PM-Settled,3752.75
MSCI EAFE (MXS),1679.67
MSCI Emerging Markets (EFS),865.04
Materials Select Sector Index (SISB),766.56
Communication Services Select Sector Index (SISC),262.2
Energy Select Sector Index (SISE),913.34
Industrials Select Sector Index (SISIN),893.7
Financial Select Sector Index (SISM),396.5
Consumer Staples Select Sector Index (SISR),694.26
Real Estate Select Sector Index (SISRE),170.07
Technology Select Sector Index (SIST),1252.67
Utilities Select Sector Index (SISUT),641.15
Dow Jones (DJS),302.95
Health Care Select Sector Index (SISV),1278.18
Consumer Discretionary Select Sector Index (SISY),1438.06
Russell 1000 Index (RIR),2009.25
Russell 1000 Growth (RLR),2134.73
Russell 1000 Value (RVS),1379.43
Mini-SPX (XSP),375.27
Russell 2000 (RLS),1714.2
VIX Options (VRO),31.77
September 2022 Settlement Values,
INDEX,SETTLEMENT VALUE
VIX Options (VRO),26.65
S&P 100 (OEX),1756.06
S&P 500 Scored & Screened Index,336.21
S&P 500 (SET),3871.24
S&P 500 PM-Settled,3873.33
MSCI EAFE (MXS),1788.6
MSCI Emerging Markets (EFS),944.12
Materials Select Sector Index (SISB),769.49
Communication Services Select Sector Index (SISC),272.51
Energy Select Sector Index (SISE),815.36
Industrials Select Sector Index (SISIN),895.87
Financial Select Sector Index (SISM),405.8
Consumer Staples Select Sector Index (SISR),715.95
Real Estate Select Sector Index (SISRE),196.73
Technology Select Sector Index (SIST),1295.31
Utilities Select Sector Index (SISUT),749.93
Dow Jones (DJS),306.45
Health Care Select Sector Index (SISV),1284.27
Consumer Discretionary Select Sector Index (SISY),1593.06
Russell 1000 Index (RIR),2132.49
Russell 1000 Value (RVS),1454.45
Mini-SPX (XSP),387.33
Russell 2000 (RLS),1804.58
August 2022 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),1930.51
S&P 500 Scored & Screened Index,372.6
S&P 500 (SET),4258.21
S&P 500 PM-Settled,4228.48
MSCI EAFE (MXS),1919.5
MSCI Emerging Markets (EFS),1001.46
Materials Select Sector Index (SISB),837.88
Communication Services Select Sector Index (SISC),301.76
Energy Select Sector Index (SISE),829.95
Industrials Select Sector Index (SISIN),994.28
Financial Select Sector Index (SISM),429.97
Consumer Staples Select Sector Index (SISR),774.41
Real Estate Select Sector Index (SISRE),218.66
Technology Select Sector Index (SIST),1490.09
Utilities Select Sector Index (SISUT),784.34
Dow Jones (DJS),338.27
Health Care Select Sector Index (SISV),1341.67
Consumer Discretionary Select Sector Index (SISY),1691.57
Russell 1000 Index (RIR),2341.24
Russell 1000 Value (RVS),1564.34
Mini-SPX (XSP),422.85
Russell 2000 (RLS),1980.95
VIX Options (VRO),20.11
July 2022 Settlement Values,
INDEX,SETTLEMENT VALUE
VIX Options (VRO),24.37
S&P 100 (OEX),1770.52
S&P 500 Scored & Screened Index,336.68
S&P 500 (SET),3839.81
S&P 500 PM-Settled,3863.16
MSCI EAFE (MXS),1817.05
MSCI Emerging Markets (EFS),961.85
Materials Select Sector Index (SISB),763.56
Communication Services Select Sector Index (SISC),289.79
Energy Select Sector Index (SISE),722.99
Industrials Select Sector Index (SISIN),875.32
Financial Select Sector Index (SISM),391.99
Consumer Staples Select Sector Index (SISR),736.13
Real Estate Select Sector Index (SISRE),200.99
Technology Select Sector Index (SIST),1333.95
Utilities Select Sector Index (SISUT),706.72
Dow Jones (DJS),311.12
Health Care Select Sector Index (SISV),1315.81
Consumer Discretionary Select Sector Index (SISY),1464.08
Russell 1000 Index (RIR),2105.13
Russell 1000 Growth (RLR),2266.08
Russell 1000 Value (RVS),1426.12
Mini-SPX (XSP),386.32
Russell 2000 (RLS),1739.34
June 2022 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),1675.9
S&P 500 Scored & Screened Index,320.61
S&P 500 (SET),3663.76
S&P 500 PM-Settled,3674.84
MSCI EAFE (MXS),1823.08
MSCI Emerging Markets (EFS),1004.63
Materials Select Sector Index (SISB),789.67
Communication Services Select Sector Index (SISC),281.32
Energy Select Sector Index (SISE),764.94
Industrials Select Sector Index (SISIN),859.14
Financial Select Sector Index (SISM),379.79
Consumer Staples Select Sector Index (SISR),689.96
Real Estate Select Sector Index (SISRE),190.3
Technology Select Sector Index (SIST),1253.12
Utilities Select Sector Index (SISUT),652.31
Dow Jones (DJS),298.06
Health Care Select Sector Index (SISV),1208.04
Consumer Discretionary Select Sector Index (SISY),1372.36
Russell 1000 Index (RIR),2009.53
Russell 1000 Growth (RLR),2108.99
Russell 1000 Value (RVS),1394.64
Mini-SPX (XSP),367.48
Russell 2000 (RLS),1664.11
VIX Options (VRO),31
May 2022 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),1764.11
S&P 500 Scored & Screened Index,343.22
S&P 500 (SET),3937.64
S&P 500 PM-Settled,3901.36
MSCI EAFE (MXS),1969.24
MSCI Emerging Markets (EFS),1035.31
Materials Select Sector Index (SISB),871.12
Communication Services Select Sector Index (SISC),303.27
Energy Select Sector Index (SISE),853.25
Industrials Select Sector Index (SISIN),902.33
Financial Select Sector Index (SISM),405.08
Consumer Staples Select Sector Index (SISR),711.07
Real Estate Select Sector Index (SISRE),207.2
Technology Select Sector Index (SIST),1317.88
Utilities Select Sector Index (SISUT),723.39
Dow Jones (DJS),314.92
Health Care Select Sector Index (SISV),1310.09
Consumer Discretionary Select Sector Index (SISY),1417.34
Russell 1000 Index (RIR),2165.51
Russell 1000 Growth (RLR),2276.49
Russell 1000 Value (RVS),1500.58
Mini-SPX (XSP),390.14
Russell 2000 (RLS),1796.48
VIX Options (VRO),27.68
April 2022 Settlement Values,
INDEX,SETTLEMENT VALUE
VIX Options (VRO),20.3
S&P 100 (OEX),2004.5
S&P 500 Scored & Screened Index,388.66
S&P 500 (SET),4452.07
S&P 500 PM-Settled,4392.59
MSCI EAFE (MXS),2118.51
MSCI Emerging Markets (EFS),1117.36
Materials Select Sector Index (SISB),942
Communication Services Select Sector Index (SISC),347.59
Energy Select Sector Index (SISE),838.49
Industrials Select Sector Index (SISIN),1007.49
Financial Select Sector Index (SISM),454.66
Consumer Staples Select Sector Index (SISR),794.38
Real Estate Select Sector Index (SISRE),238.72
Technology Select Sector Index (SIST),1477.56
Utilities Select Sector Index (SISUT),770.57
Dow Jones (DJS),346.85
Health Care Select Sector Index (SISV),1401.02
Consumer Discretionary Select Sector Index (SISY),1802.27
Russell 1000 Index (RIR),2457.59
Russell 1000 Growth (RLR),2690.2
Russell 1000 Value (RVS),1638.34
Mini-SPX (XSP),439.26
Russell 2000 (RLS),2028.88
March 2022 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),2048.3
S&P 500 Scored & Screened Index,385.38
S&P 500 (SET),4409.35
S&P 500 PM-Settled,4463.12
MSCI EAFE (MXS),2156.76
MSCI Emerging Markets (EFS),1122.98
Materials Select Sector Index (SISB),908.09
Communication Services Select Sector Index (SISC),356.32
Energy Select Sector Index (SISE),770.24
Industrials Select Sector Index (SISIN),1033.74
Financial Select Sector Index (SISM),479.6
Consumer Staples Select Sector Index (SISR),745.38
Real Estate Select Sector Index (SISRE),230.37
Technology Select Sector Index (SIST),1560.2
Utilities Select Sector Index (SISUT),712.88
Dow Jones (DJS),344.14
Health Care Select Sector Index (SISV),1381.69
Consumer Discretionary Select Sector Index (SISY),1835.33
Russell 1000 Index (RIR),2433.62
Russell 1000 Growth (RLR),2672.14
Russell 1000 Value (RVS),1617.38
Russell 2000 (RLS),2062.69
VIX Options (VRO),32.28
February 2022 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),1999.44
S&P 500 Scored & Screened Index,385.08
S&P 500 (SET),4383.7
S&P 500 PM-Settled,4348.87
MSCI EAFE (MXS),2235.92
MSCI Emerging Markets (EFS),1231.77
Materials Select Sector Index (SISB),887.04
Communication Services Select Sector Index (SISC),352.27
Energy Select Sector Index (SISE),708.77
Industrials Select Sector Index (SISIN),989.49
Financial Select Sector Index (SISM),482.56
Consumer Staples Select Sector Index (SISR),765.58
Real Estate Select Sector Index (SISRE),218.68
Technology Select Sector Index (SIST),1533.12
Utilities Select Sector Index (SISUT),668.35
Dow Jones (DJS),342.45
Health Care Select Sector Index (SISV),1287.13
Consumer Discretionary Select Sector Index (SISY),1817.43
Russell 1000 Index (RIR),2424.33
Russell 1000 Growth (RLR),2693.18
Russell 1000 Value (RVS),1592.29
Russell 2000 (RLS),2018.45
VIX Options (VRO),26.37
January 2022 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),2024.95
S&P 500 Scored & Screened Index,389.95
S&P 500 (SET),4472.07
S&P 500 PM-Settled,4397.94
MSCI EAFE (MXS),2284.35
MSCI Emerging Markets (EFS),1244.31
Materials Select Sector Index (SISB),889.33
Communication Services Select Sector Index (SISC),377.51
Energy Select Sector Index (SISE),656.08
Industrials Select Sector Index (SISIN),1019.63
Financial Select Sector Index (SISM),470.97
Consumer Staples Select Sector Index (SISR),765.61
Real Estate Select Sector Index (SISRE),230.01
Technology Select Sector Index (SIST),1555.79
Utilities Select Sector Index (SISUT),697.94
Dow Jones (DJS),347.33
Health Care Select Sector Index (SISV),1308.79
Consumer Discretionary Select Sector Index (SISY),1823.99
Russell 1000 Index (RIR),2468.89
Russell 1000 Growth (RLR),2754.21
Russell 1000 Value (RVS),1614.58
Russell 2000 (RLS),2007.08
VIX Options (VRO),22.79
December 2021 Settlement Values,
INDEX,SETTLEMENT VALUE
VIX Options (VRO),20.83
S&P 100 (OEX),2133.17
S&P 500 Scored & Screened Index,403.09
S&P 500 (SET),4636.46
S&P 500 PM-Settled,4620.64
MSCI EAFE (MXS),2278.88
MSCI Emerging Markets (EFS),1216.3
Materials Select Sector Index (SISB),923.93
Communication Services Select Sector Index (SISC),399.83
Energy Select Sector Index (SISE),563.62
Industrials Select Sector Index (SISIN),1029.58
Financial Select Sector Index (SISM),473.94
Consumer Staples Select Sector Index (SISR),754.93
Real Estate Select Sector Index (SISRE),243.86
Technology Select Sector Index (SIST),1689.14
Utilities Select Sector Index (SISUT),704.83
Dow Jones (DJS),356.76
Health Care Select Sector Index (SISV),1390.59
Consumer Discretionary Select Sector Index (SISY),1971.63
Russell 1000 Index (RIR),2569.14
Russell 1000 Growth (RLR),2962.94
Russell 1000 Value (RVS),1621.5
Russell 2000 (RLS),2142.43
November 2021 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),2171.88
S&P 500 Scored & Screened Index,410.16
S&P 500 (SET),4711.46
S&P 500 PM-Settled,4697.96
MSCI EAFE (MXS),2344.93
MSCI Emerging Markets (EFS),1269.22
Materials Select Sector Index (SISB),933.24
Communication Services Select Sector Index (SISC),416.47
Energy Select Sector Index (SISE),568.15
Industrials Select Sector Index (SISIN),1063.32
Financial Select Sector Index (SISM),480.2
Consumer Staples Select Sector Index (SISR),725.02
Real Estate Select Sector Index (SISRE),235.5
Technology Select Sector Index (SIST),1724.09
Utilities Select Sector Index (SISUT),679.14
Dow Jones (DJS),357.91
Health Care Select Sector Index (SISV),1342.01
Consumer Discretionary Select Sector Index (SISY),2135.1
Russell 1000 Index (RIR),2636.81
Russell 1000 Growth (RLR),3110.77
Russell 1000 Value (RVS),1622.04
Russell 2000 (RLS),2346.41
VIX Options (VRO),16.34
October 2021 Settlement Values,
INDEX,SETTLEMENT VALUE
VIX Options (VRO),15.35
S&P 100 (OEX),2053.52
S&P 500 Scored & Screened Index,383.39
S&P 500 (SET),4463.66
S&P 500 PM-Settled,4471.37
MSCI EAFE (MXS),2324.5
MSCI Emerging Markets (EFS),1283.67
Materials Select Sector Index (SISB),889.65
Communication Services Select Sector Index (SISC),419.72
Energy Select Sector Index (SISE),600.69
Industrials Select Sector Index (SISIN),1036.66
Financial Select Sector Index (SISM),486.9
Consumer Staples Select Sector Index (SISR),714.06
Real Estate Select Sector Index (SISRE),225.86
Technology Select Sector Index (SIST),1570.43
Utilities Select Sector Index (SISUT),665.56
Dow Jones (DJS),351.7
Health Care Select Sector Index (SISV),1293.31
Consumer Discretionary Select Sector Index (SISY),1910.13
Russell 1000 Index (RIR),2510.08
Russell 1000 Growth (RLR),2861.39
Russell 1000 Value (RVS),1604.4
Russell 2000 (RLS),2309.16
September 2021 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),2037.62
S&P 500 Scored & Screened Index,382.34
S&P 500 (SET),4464.33
S&P 500 PM-Settled,4432.99
MSCI EAFE (MXS),2348.46
MSCI Emerging Markets (EFS),1279.35
Materials Select Sector Index (SISB),856.94
Communication Services Select Sector Index (SISC),434.55
Energy Select Sector Index (SISE),510.96
Industrials Select Sector Index (SISIN),1008.4
Financial Select Sector Index (SISM),461.53
Consumer Staples Select Sector Index (SISR),716.13
Real Estate Select Sector Index (SISRE),228.32
Technology Select Sector Index (SIST),1564.56
Utilities Select Sector Index (SISUT),668.15
Dow Jones (DJS),346.97
Health Care Select Sector Index (SISV),1340.27
Consumer Discretionary Select Sector Index (SISY),1857.91
Russell 1000 Index (RIR),2506.87
Russell 1000 Growth (RLR),2905.47
Russell 1000 Value (RVS),1573.53
Russell 2000 (RLS),2241.04
VIX Options (VRO),19.79
August 2021 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),2041.48
S&P 500 Scored & Screened Index,377.54
S&P 500 (SET),4412.14
MSCI EAFE (MXS),2307.19
MSCI Emerging Markets (EFS),1220.78
Materials Select Sector Index (SISB),885.2
Communication Services Select Sector Index (SISC),432.62
Energy Select Sector Index (SISE),476.01
Industrials Select Sector Index (SISIN),1032.3
Financial Select Sector Index (SISM),463.71
Consumer Staples Select Sector Index (SISR),731.92
Real Estate Select Sector Index (SISRE),229.79
Technology Select Sector Index (SIST),1567.35
Utilities Select Sector Index (SISUT),705.92
Dow Jones (DJS),349.07
Health Care Select Sector Index (SISV),1374.09
Consumer Discretionary Select Sector Index (SISY),1794.63
Russell 1000 Index (RIR),2469.4
Russell 1000 Growth (RLR),2823.31
Russell 1000 Value (RVS),1573.3
Russell 2000 (RLS),2126.38
VIX Options (VRO),18.58
July 2021 Settlement Values,
INDEX,SETTLEMENT VALUE
VIX Options (VRO),18.9
S&P 100 (OEX),1992.85
S&P 500 Scored & Screened Index,374.78
S&P 500 (SET),4373.82
S&P 500 PM-Settled,4327.16
MSCI EAFE (MXS),2302.81
MSCI Emerging Markets (EFS),1340.08
Materials Select Sector Index (SISB),857.25
Communication Services Select Sector Index (SISC),422.94
Energy Select Sector Index (SISE),510.18
Industrials Select Sector Index (SISIN),1027.02
Financial Select Sector Index (SISM),445.2
Consumer Staples Select Sector Index (SISR),716.54
Real Estate Select Sector Index (SISRE),226.12
Technology Select Sector Index (SIST),1514.38
Utilities Select Sector Index (SISUT),671.8
Dow Jones (DJS),350.98
Health Care Select Sector Index (SISV),1299.73
Consumer Discretionary Select Sector Index (SISY),1799.16
Russell 1000 Index (RIR),2452.37
Russell 1000 Growth (RLR),2794.33
Russell 1000 Value (RVS),1568.16
Russell 2000 (RLS),2209.51
June 2021 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),1906.08
S&P 500 Scored & Screened Index,357.6
S&P 500 (SET),4187.25
S&P 500 PM-Settled,4166.45
MSCI EAFE (MXS),2308.52
MSCI Emerging Markets (EFS),1361.25
Materials Select Sector Index (SISB),851.04
Communication Services Select Sector Index (SISC),410.73
Energy Select Sector Index (SISE),543.38
Industrials Select Sector Index (SISIN),1001.19
Financial Select Sector Index (SISM),432.82
Consumer Staples Select Sector Index (SISR),690.43
Real Estate Select Sector Index (SISRE),216.06
Technology Select Sector Index (SIST),1429.29
Utilities Select Sector Index (SISUT),644.81
Dow Jones (DJS),334.24
Health Care Select Sector Index (SISV),1246.14
Consumer Discretionary Select Sector Index (SISY),1736.92
Russell 1000 Index (RIR),2358.01
Russell 1000 Growth (RLR),2643.81
Russell 1000 Value (RVS),1533.65
Russell 2000 (RLS),2259.47
VIX Options (VRO),16.38
May 2021 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),1883.16
S&P 500 Scored & Screened Index,355.88
S&P 500 (SET),4178.21
MSCI EAFE (MXS),2314.63
MSCI Emerging Markets (EFS),1330.04
Materials Select Sector Index (SISB),918.3
Communication Services Select Sector Index (SISC),404.98
Energy Select Sector Index (SISE),545.73
Industrials Select Sector Index (SISIN),1037.51
Financial Select Sector Index (SISM),459.66
Consumer Staples Select Sector Index (SISR),715.89
Real Estate Select Sector Index (SISRE),207.01
Technology Select Sector Index (SIST),1385.71
Utilities Select Sector Index (SISUT),665.75
Dow Jones (DJS),342.52
Health Care Select Sector Index (SISV),1260.37
Consumer Discretionary Select Sector Index (SISY),1719.64
Russell 1000 Index (RIR),2348.05
Russell 1000 Growth (RLR),2557.46
Russell 1000 Value (RVS),1571.93
Russell 2000 (RLS),2232.16
VIX Options (VRO),25.21
April 2021 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),1908.86
MSCI EAFE (MXS),2299.28
MSCI Emerging Markets (EFS),1348.69
Materials Select Sector Index (SISB),873.58
Communication Services Select Sector Index (SISC),403.64
Energy Select Sector Index (SISE),514.38
Industrials Select Sector Index (SISIN),1024.47
Financial Select Sector Index (SISM),436.6
Consumer Staples Select Sector Index (SISR),703.78
Real Estate Select Sector Index (SISRE),203.23
Technology Select Sector Index (SIST),1447.4
Utilities Select Sector Index (SISUT),678.81
Health Care Select Sector Index (SISV),1225.47
Consumer Discretionary Select Sector Index (SISY),1809.3
VIX Options (VRO),19.28
S&P 500 (SET),4191.25
Dow Jones (DJS),342.58
Russell 1000 Index (RIR),2364.01
Russell 1000 Growth (RLR),2634.53
Russell 1000 Value (RVS),1547.11
Russell 2000 (RLS),2274.65
March 2021 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),1771.87
S&P 500 (SET),3912.62
MSCI EAFE (MXS),2231.43
MSCI Emerging Markets (EFS),1336.84
Materials Select Sector Index (SISB),823.65
Communication Services Select Sector Index (SISC),391.97
Energy Select Sector Index (SISE),514.05
Industrials Select Sector Index (SISIN),977.15
Financial Select Sector Index (SISM),421.46
Consumer Staples Select Sector Index (SISR),664.66
Real Estate Select Sector Index (SISRE),189.88
Technology Select Sector Index (SIST),1307.43
Utilities Select Sector Index (SISUT),625.21
Dow Jones (DJS),328.08
Health Care Select Sector Index (SISV),1156.88
Consumer Discretionary Select Sector Index (SISY),1664.53
Russell 1000 Index (RIR),2209.04
Russell 1000 Growth (RLR),2394.05
Russell 1000 Value (RVS),1486.01
Russell 2000 (RLS),2266.16
VIX Options (VRO),20.8
February 2021 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),1782.68
S&P 500 (SET),3927.21
MSCI EAFE (MXS),2232.56
MSCI Emerging Markets (EFS),1430.03
Materials Select Sector Index (SISB),783.35
Communication Services Select Sector Index (SISC),383.65
Energy Select Sector Index (SISE),472.03
Industrials Select Sector Index (SISIN),907.56
Financial Select Sector Index (SISM),395.9
Consumer Staples Select Sector Index (SISR),661.87
Real Estate Select Sector Index (SISRE),185.72
Technology Select Sector Index (SIST),1377.53
Utilities Select Sector Index (SISUT),629.18
Dow Jones (DJS),315.67
Health Care Select Sector Index (SISV),1169.89
Consumer Discretionary Select Sector Index (SISY),1729.32
Russell 1000 Index (RIR),2229.58
Russell 1000 Growth (RLR),2541.42
Russell 1000 Value (RVS),1425.21
Russell 2000 (RLS),2232.32
VIX Options (VRO),22.81
January 2021 Settlement Values,
INDEX,SETTLEMENT VALUE
VIX Options (VRO),22.59
S&P 100 (OEX),1716.11
S&P 500 (SET),3782.21
MSCI EAFE (MXS),2184.94
MSCI Emerging Markets (EFS),1358.03
Materials Select Sector Index (SISB),803.4
Communication Services Select Sector Index (SISC),340.64
Energy Select Sector Index (SISE),458.37
Industrials Select Sector Index (SISIN),901.85
Financial Select Sector Index (SISM),381.85
Consumer Staples Select Sector Index (SISR),661.98
Real Estate Select Sector Index (SISRE),174.2
Technology Select Sector Index (SIST),1295.57
Utilities Select Sector Index (SISUT),630.62
Dow Jones (DJS),308.15
Health Care Select Sector Index (SISV),1176.46
Consumer Discretionary Select Sector Index (SISY),1685.92
Russell 1000 Index (RIR),2144.53
Russell 1000 Growth (RLR),2412.68
Russell 1000 Value (RVS),1389.82
Russell 2000 (RLS),2132.41
December 2020 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),1695.72
S&P 500 (SET),3726.25
MSCI EAFE (MXS),2131.59
MSCI Emerging Markets (EFS),1268.36
Materials Select Sector Index (SISB),760.1
Communication Services Select Sector Index (SISC),351.5
Energy Select Sector Index (SISE),412.98
Industrials Select Sector Index (SISIN),890.8
Financial Select Sector Index (SISM),352.63
Consumer Staples Select Sector Index (SISR),680.09
Real Estate Select Sector Index (SISRE),178.84
Technology Select Sector Index (SIST),1295.53
Utilities Select Sector Index (SISUT),632.73
Dow Jones (DJS),303.63
Health Care Select Sector Index (SISV),1139
Consumer Discretionary Select Sector Index (SISY),1624.33
Russell 1000 Index (RIR),2108.21
Russell 1000 Growth (RLR),2413.76
Russell 1000 Value (RVS),1341.27
Russell 2000 (RLS),1986.3
VIX Options (VRO),23.35
November 2020 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),1628.35
S&P 500 (SET),3578.48
MSCI EAFE (MXS),2035.27
MSCI Emerging Markets (EFS),1209.26
Materials Select Sector Index (SISB),739.08
Communication Services Select Sector Index (SISC),334.73
Energy Select Sector Index (SISE),372.04
Industrials Select Sector Index (SISIN),877.64
Financial Select Sector Index (SISM),335.41
Consumer Staples Select Sector Index (SISR),671.45
Real Estate Select Sector Index (SISRE),179.99
Technology Select Sector Index (SIST),1220.84
Utilities Select Sector Index (SISUT),640.84
Dow Jones (DJS),293.97
Health Care Select Sector Index (SISV),1098.54
Consumer Discretionary Select Sector Index (SISY),1561.5
Russell 1000 Index (RIR),2006.31
Russell 1000 Growth (RLR),2281.41
Russell 1000 Value (RVS),1285.76
Russell 2000 (RLS),1771.58
VIX Options (VRO),22.41
October 2020 Settlement Values,
INDEX,SETTLEMENT VALUE
VIX Options (VRO),29.07
S&P 100 (OEX),1610.76
S&P 500 (SET),3497.96
MSCI EAFE (MXS),1882.36
MSCI Emerging Markets (EFS),1124.08
Materials Select Sector Index (SISB),701.48
Communication Services Select Sector Index (SISC),319.48
Energy Select Sector Index (SISE),322.65
Industrials Select Sector Index (SISIN),821.09
Financial Select Sector Index (SISM),308.29
Consumer Staples Select Sector Index (SISR),667.96
Real Estate Select Sector Index (SISRE),175.21
Technology Select Sector Index (SIST),1229.13
Utilities Select Sector Index (SISUT),642.85
Dow Jones (DJS),286.2
